Year,Month,Day,Eel_count,Eel_ID,Period,Region,Invasion_Year,Years_Since_Invasion,Invasion_Status,Site and Plot,Site,Mass_g,TL_mm,Gape_Width_mm,Sex,Region_Specific_Years_Since_Invasion,Eel_Presence_Fish,Eel_Presence_Shrimp,Eel_Presence_Crayfish,Eel_Presence_Odonata,Eel_Presence_Hemiptera,Eel_Presence_Coleoptera,Eel_Presence_Gastropoda,Eel_Presence_Diptera,Unknown_Insects,Amphipoda,Eel_Presence_Miscellaneous,TT_Mean_Count_Coleoptera,TT_Mean_Count_Crayfish,TT_Mean_Count_Diptera,TT_Mean_Count_Fish,TT_Mean_Count_Gastropoda,TT_Mean_Count_Hemiptera,TT_Mean_Count_Miscellaneous,TT_Mean_Count_Odonata,TT_Mean_Count_Shrimp,UknownInsects,mean_DEPTH_AVE_60DAY,mean_DEPTH_AVE_90DAY,mean_DEPTH_AVE_180DAY,mean_DEPTH_AVE_365DAY,mean_WET_SUM_365DAY,mean_DEPTH,Vol_TT_Mean_Count_Crayfish,Vol_TT_Mean_Count_Diptera,Vol_TT_Mean_Count_Fish,Vol_TT_Mean_Count_Gastropoda,Vol_TT_Mean_Count_Hemiptera,Vol_TT_Mean_Count_Miscellaneous,Vol_TT_Mean_Count_Odonata,Vol_TT_Mean_Count_Shrimp
2023,2,10,143,MA-143-DA,1,TSL,2013,10,Established,T5,TS,179.1,462,11.97,NA,2011,0,0,1,1,0,0,0,0,0,0,0,0.666666667,0,0.047619048,10.52380952,1.904761905,3.904761905,0.238095238,5.571428571,23.23809524,,40.81772402,44.13253884,51.26209976,46.37338215,365,35.1520747,0,0.135465824,29.93794709,5.418632958,11.10819756,0.67732912,15.8495014,66.10732208
2018,8,15,334,MA-334-DA,3,TSL,2013,5,Established,TSB,TS,378.7,746,20.78,NA,2011,1,0,1,1,0,0,0,0,0,0,0,0.19047619,0,0.095238095,9.619047619,0.142857143,4.904761905,0,1.476190476,2.857142857,,41.07883514,34.83994625,35.08276893,44.62023722,365,51.18462078,0,0.186067795,18.79284729,0.279101692,9.58249144,0,2.884050822,5.582033848
2023,7,17,381,MA-381-DA,3,PHD,2011,12,Established,A62A,A62,70.7,446,10.07,NA,2007,0,0,1,0,0,0,0,0,0,0,0,1.238095238,0,0.047619048,6.238095238,0.380952381,11.33333333,0,0.095238095,3.142857143,,20.9630008,18.14263043,14.54818598,20.35120476,350.6666667,30.03522302,0,0.158544012,20.76926558,1.268352097,37.73347488,0,0.317088024,10.4639048
2023,7,19,403,MA-403-DA,3,TSL,2013,10,Established,TSA,TS,185.5,613,15.45,Female,2011,1,0,1,0,0,0,0,1,0,0,0,0.142857143,0,0,23.76190476,0.428571429,6.714285714,0,3.523809524,14.14285714,,44.12327958,39.24735365,37.63068699,45.27099647,365,58.50661291,0,0,40.61404956,0.732517928,11.4761142,0,6.022925185,24.17309162
2021,10,11,467,MA-467-DA,4,GAP,2018,3,Colonizing,DPM,C2B,120,513,NA,NA,2017,0,0,1,0,1,0,0,0,0,0,0,2,0,0,32,0.666666667,26.33333333,0,2,10.33333333,,,,,,,,,,,,,,,
2021,10,11,468,MA-468-DA,4,GAP,2018,3,Colonizing,DPM,C2B,105,492,NA,NA,2017,0,0,1,0,0,0,0,0,0,0,0,2,0,0,32,0.666666667,26.33333333,0,2,10.33333333,,,,,,,,,,,,,,,
2021,10,11,481,MA-481-DA,4,GAP,2018,3,Colonizing,DPM,RS1S,120,467,NA,NA,2017,0,0,1,0,0,0,0,0,0,0,0,1,0,0,63.66666667,3.333333333,2.666666667,1.333333333,5.666666667,22,,,,,,,,,,,,,,,
2021,10,11,484,MA-484-DA,4,GAP,2018,3,Colonizing,DPM,NCU,95,462,NA,NA,2017,0,1,1,0,0,0,0,0,0,0,0,0.333333333,0,0,10,0,9,0,0,4.666666667,,,,,,,,,,,,,,,
2024,8,8,701,MA-701-DA,3,PHD,2011,13,Established,A62A,A62,84.5,464,8.9600000000000009,NA,2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333,4.047619048,0.047619048,0.238095238,0.523809524,,16.40188969,16.29077858,19.20559339,25.61147873,362.3333333,30.03522302,0,0,3.329424254,1.109808085,13.47624103,0.158544012,0.79272006,1.743984133
2024,8,9,766,MA-766-DA,3,TSL,2013,11,Established,TSA,TS,295.4,667,15.65,NA,2011,0,0,1,0,0,0,0,0,0,0,0,0.619047619,0,0,14.71428571,0.904761905,3.523809524,0,5.095238095,21.57142857,,40.02883514,41.01772402,46.03439069,52.87830241,365,52.17327958,0,0,28.20272337,1.734148039,6.754050257,0,9.765991589,41.34574009
2024,8,9,855,MA-855-DA,3,TSL,2013,11,Established,TSB,TS,25.9,313,5.38,NA,2011,1,0,1,0,0,0,0,0,0,0,0,0.619047619,0,0,14.71428571,0.904761905,3.523809524,0,5.095238095,21.57142857,,40.02883514,41.01772402,46.03439069,52.87830241,365,52.17327958,0,0,28.20272337,1.734148039,6.754050257,0,9.765991589,41.34574009
